OTU_id	Human-derived Salmonella (developed countries)	Swine-derived Salmonella (developed countries)
1983	17	0
1984	15	0
1985	26	0
1986	16	4
1987	25	2
1988	33	0
1989	15	0
1990	18	0
1991	18	0
1992	26	0
1993	33	0
1994	34	0
1995	29	0
1996	43	1
1997	27	0
1998	32	0
1999	33	24
2000	51	18
2001	128	1
2002	58	22
2003	110	13
2004	142	31
2005	169	149
2006	255	24
2007	196	49
2008	586	120
2009	658	112
2010	796	97
2011	736	142
2012	1903	160
2013	1193	356
2014	7631	371
2015	9606	562
2016	10316	1137
2017	15177	1516
2018	16900	1347
2019	12532	1682
2020	7515	1969
2021	7081	1957
2022	2323	1848
2023	4101	1375
