"spec","env","r","p","df_r","df_p"
"Human","asses",0.292742594611262,0.004,"< 0.5","0.001 - 0.01"
"Human","buffalo",0.59808547185744,0.001,"0.5 - 0.75","< 0.001"
"Human","camels",0.62999823168024,0.001,"0.5 - 0.75","< 0.001"
"Human","cattle with the bone",0.464192126665405,0.001,"< 0.5","< 0.001"
"Human","chickens",0.635551072141945,0.001,"0.5 - 0.75","< 0.001"
"Human","ducks",0.379533923049185,0.002,"< 0.5","0.001 - 0.01"
"Human","geese",0.321767292724878,0.009,"< 0.5","0.001 - 0.01"
"Human","goat",0.540528128956059,0.001,"0.5 - 0.75","< 0.001"
"Human","mules",0.458993001035736,0.001,"< 0.5","< 0.001"
"Human","other domestic camelids",0.657547746214898,0.001,"0.5 - 0.75","< 0.001"
"Human","other domestic rodents",0.00803190505150549,0.388,"< 0.5",">= 0.05"
"Human","pig with the bone",0.431110557206414,0.001,"< 0.5","< 0.001"
"Human","pigeons and other birds",-0.0402308013519794,0.631,"< 0.5",">= 0.05"
"Human","rabbits and hares",0.212028636705796,0.004,"< 0.5","0.001 - 0.01"
"Human","sheep",0.555566579761021,0.001,"0.5 - 0.75","< 0.001"
"Human","turkeys",0.333977531380536,0.002,"< 0.5","0.001 - 0.01"
"Human","mammals",0.547459466728055,0.001,"0.5 - 0.75","< 0.001"
"Swine","asses",0.106229930986656,0.143,"< 0.5",">= 0.05"
"Swine","buffalo",0.298931990424479,0.001,"< 0.5","< 0.001"
"Swine","camels",0.284036904412304,0.002,"< 0.5","0.001 - 0.01"
"Swine","cattle with the bone",0.187746471302216,0.026,"< 0.5","0.01 - 0.05"
"Swine","chickens",0.287079620010998,0.001,"< 0.5","< 0.001"
"Swine","ducks",0.149611214815504,0.093,"< 0.5",">= 0.05"
"Swine","geese",0.113196165917064,0.165,"< 0.5",">= 0.05"
"Swine","goat",0.230122701584935,0.006,"< 0.5","0.001 - 0.01"
"Swine","mules",0.126502205015764,0.083,"< 0.5",">= 0.05"
"Swine","other domestic camelids",0.327376623927413,0.001,"< 0.5","< 0.001"
"Swine","other domestic rodents",-0.0847151651663738,0.728,"< 0.5",">= 0.05"
"Swine","pig with the bone",0.338502823006606,0.001,"< 0.5","< 0.001"
"Swine","pigeons and other birds",-0.0890007658869809,0.778,"< 0.5",">= 0.05"
"Swine","rabbits and hares",0.241058171293893,0.005,"< 0.5","0.001 - 0.01"
"Swine","sheep",0.247840247381704,0.004,"< 0.5","0.001 - 0.01"
"Swine","turkeys",0.207567880214977,0.014,"< 0.5","0.01 - 0.05"
"Swine","mammals",0.238353709189674,0.004,"< 0.5","0.001 - 0.01"
