Sample	asses	buffalo	camels	cattle with the bone	chickens	ducks	geese	goat	mules	other domestic camelids	other domestic rodents	pig with the bone	pigeons and other birds	rabbits and hares	sheep	turkeys	mammals
2003	354373.24	4331200.35	352017.95	36331826.58	48239236.38	4370852.55	3606944.27	5803321.67	116625.52	15222	17220	102571038	44751.65	1095799.2	6958502.38	509226.75	993959.5599999999
2004	364262.54000000004	4614740.8	364251.58	37852715.94	49892363.79	4477174.25	3671858.95	6141138.08	116671.06	16185	17370	104693782.1	52216.15	1158447.9	7276123.21	551270.1	1114978.15
2005	364508.86	4737977.67	329705.31	39319378.59	51745136.33	4899236.25	3944384.4400000004	6411242.82	120420	18720	17750	109122531.1	51558.5	1246993.32	7537957.37	640781.42	1171130.45
2006	375400	5186076.2	372172.63	40652208.75	54087825.32	4989107.34	3946977.52	6481343.4	122500	19839	17750	111624205.2	60339.5	1318978.29	7803919.92	602911.61	1305885.55
2007	364545	5361935.95	424174.92000000004	42046616.3	58120664.22	5301023.08	4333263.85	6780225.16	116000	22293	17875	105272590.1	66398.5	1441945.3	8147153.649999999	753644.1900000001	1368700.66
2008	363556.6	5577423.75	460101.28	42002981.120000005	62263116	5727338.130000001	4394233.06	6912292.08	108600	23919	18254	111920722	17646.95	1423991.34	8214556.05	833175.43	1590143.33
2009	384935	5878085.09	448903.73	42606688.86	64890103.64	5924396.21	4559583.57	7088744.72	113400	24543	18456	117771063.4	17821.370000000003	1533562.3699999999	8432810.54	831113.23	1668550.19
2010	387477	6127997.81	471701.07	42627765.09	68341948.1	6145980.779999999	4733312.52	7271195.3	108200	24017	18506	121974812.6	18123.79	1647291.59	8685009.3	718409.8200000001	1756948.29
2011	404347	6313931.43	486792.39	42337867.28	71955620.54	6358851.38	4883356.55	7241771.61	104600	27752	18506	122338663.1	18137.29	1748290.8499999999	8807599.47	706318.03	1818007
2012	403875.59	6517823.26	493230.03	43135677.86	75568595.86	6710538.7	5203691.109999999	7408146.57	104000	28535	18600	128544148.1	18603.87	1755101.1800000002	8861282.98	866925.52	1796711
2013	400392.03	6835735.2	516448.87	44245864.12	77413731.54	6676970.84	5137355.6899999995	7627258.01	95740	28848	18600	132088086.5	19580.84	1834403.69	9073835.72	790439.03	1843506.15
2014	404945.83	7056844.57	519573.09	44390202.660000004	79479075.16	6559497.79	5011917.8100000005	7972602.2	100000	29131	18681.510000000002	136094259.4	19000.07	1866457.52	9412338.48	782828.81	1828682.3499999999
2015	407163.92	7200832.28	535447.41	44620862	82894987.26	6773080.5	5188576.76	8177556.64	76000	29060	18742.32	136731825.6	18621.41	1868163.81	9760495.59	811364.3200000001	1908994.54
2016	293990.18	7282295.59	544798.79	44307230.57	85180073.72	6957871.59	5361333	8452107.1	63035.06	30398	18682.02	133493141	18065.86	1550216.02	10096882.3	854930.95	1858218.6199999999
2017	209657.18	7397143.2299999995	556388.82	45336052.93	88762410.42	6991765.21	5395531.22	8597707.8	37393.28	31460	18655.82	134468206	16213.03	1233883.46	10239954.23	852335.58	1884309.55
2018	206589.61	7437518.85	545980.79	46437741.13	91245781.53	7238396.36	5672245.4799999995	8708134.16	34954.8	31229	18623.37	133469896.60000001	17482.170000000002	1223915.85	10294412.99	695063.24	1936260.82
2019	224094.63	7404431.5	614061.05	47453543.87	93173733.85000001	9983727.040000001	8154424.89	9022531.12	30580.56	32821	18598.23	110519887.6	17498.98	1230138.05	10587745.09	685734.61	1909482.1400000001
2020	221032.98	6893721.64	615119.75	47376432.15	95716687.35	10418612.81	8556320.54	9189982.9	30388.32	31706	18733.629999999997	108302947.3	17219.579999999998	1265310.31	11024692.6	667342.13	1971313.3
2021	175219.99000000002	7438017.47	603648.24	47970206.69	98036441.53999999	10548522.149999999	8633682.27	9439172.43	26478.7	32671	18735.55	132362665.6	17387.86	1202136.75	11395548.6	666614.86	1992669.81
2022	158179.79	7696864.399999999	610293.61	49221746.31	99880662.61	11608770.48	9602254	9559284.36	27117.92	33135	18704.05	138319784.8	17356.29	965378.7699999999	11897293.69	673772.27	2038652.48
2023	137514.94	7831680.180000001	653122.79	51108731.84	102525542.6	12368671.03	10255567.809999999	9864887.64	24631.4	33262.91	18672.47	143882303.20000002	17332.43	830065.8500000001	12190963.93	659353.12	2046218.89
