Sample	Camels	Cattle	Chickens	Ducks	Goat	Mules	Other domestic rodents	Pig	Pigeons and other birds	Rabbits and hares	Sheep	Turkeys
1983	207915.45	16297423.61	10928567.45	951172.4	2059244.8	32000	21370	35955823.03	9350	177775.1	3152242	150557.4
1984	222621.62	16858411.94	11040742.8	965399.4	2141197.7399999998	34000	21380	39004696.04	10240	190179.3	3235514.19	169811.7
1985	226942.9	17354268.56	11725247.25	999764	2216033.81	37000	21380	43305160.87	10240	190131.9	3248780.32	175619.8
1986	220629.68	18101356.74	12953501.35	1125980.7	2301444.35	40000	21490	44528043.37	10570	229581.9	3286749.2800000003	176296.2
1987	214383.99	18026784.88	14280285.95	1266297.8	2552121.95	45000	21580	47478604.14	11070	286621.1	3418775.54	182289.6
1988	226959.95	18778418.3	15514059.9	1358753.6	2671163.86	47400	21730	50872431.14	11440	319198.3	3645932.11	176414.9
1989	247003.22	19665556.900000002	15687842.85	1407541.7	2905258.7	50000	21900	52958504.22	11890	303893.5	3890995.94	180089.1
1990	263746.27	20687776.98	17117914.4	1554309.24	3049591.44	52000	22020	56282356.21	12540.5	293174	4057180.73	189421.6
1991	258626.46	20772076.68	19134250.93	1695585.45	3096798.69	53000	22120	60567096.9	11367.57	318537.72000000003	4066832.37	172527.80000000002
1992	272869.67	28492878.46	23259511.39	1976076.77	3270953.91	56000	22180	69166072.92	11910.060000000001	520328.36	4934955.4799999995	221858.27000000002
1993	266256.31	28885984.36	26064507.2	2385642.71	3434962.5	58000	22180	73294402.7	13013.759999999998	540022.74	5134612.55	226114.96
1994	282728.39	29469002.470000003	27766171.21	2606289.23	3590857.54	91040	22180	80434400.12	12810.52	600479.93	5297267.06	248594.55000000002
1995	288398.91	30000798.83	30611644.810000002	3003365.32	3996899.97	102200	22180	89220050.47	13427.16	675346.75	5412834.55	263958.52
1996	318065.42	31157846.84	31155439.45	3031579.48	3818144.9	123000	22180	79579427.33	14339.37	765560.02	5456689.38	265951.38
1997	316251.11	32551990.24	34618255.64	3387117.2399999998	4149224.28	117000	22180	87914575.61	15102.89	711491.7	5845162.4399999995	283395.82999999996
1998	328703.85	32504632.91	36887452.2	3679981.01	4549274.51	147000	19120	93720898.8	14702.44	754827.64	6040073.58	303467.62
1999	335555.12	34162162.15	38894440.1	4216491.5	4838072.5600000005	118400	16188	96152041.86	35445.799999999996	773883.05	6167982.569999999	340894.22
2000	338860.12	34564871.84	42255304.160000004	4235042.7	5007584.28	116488.88	16657	95789956.67999999	35707.67	923237.19	6314908.25	395399.54
2001	347407.49	34272301.09	43554681.22	4353290.8	5292847.4	116318.52	16715	97518231.9	37999.66	1031176.24	6608100.52	442886.69
2002	344326.6	35517825.86	46232259.91	4211181.399999999	5481038.09	117069.14	16840	99577158.91	41249.65	1064712.86	6651985.57	481599.86
2003	352017.95	36331826.58	48239236.38	4370852.55	5803321.67	116625.52	17220	102571038	44751.65	1095799.2	6958502.38	509226.75
2004	364251.58	37852715.94	49892363.79	4477174.25	6141138.08	116671.06	17370	104693782.1	52216.15	1158447.9	7276123.21	551270.1
2005	329705.31	39319378.59	51745136.33	4899236.25	6411242.82	120420	17750	109122531.1	51558.5	1246993.32	7537957.37	640781.42
2006	372172.63	40652208.75	54087825.32	4989107.34	6481343.4	122500	17750	111624205.2	60339.5	1318978.29	7803919.92	602911.61
2007	424174.92000000004	42046616.3	58120664.22	5301023.08	6780225.16	116000	17875	105272590.1	66398.5	1441945.3	8147153.649999999	753644.1900000001
2008	460101.28	42002981.120000005	62263116	5727338.130000001	6912292.08	108600	18254	111920722	17646.95	1423991.34	8214556.05	833175.43
2009	448903.73	42606688.86	64890103.64	5924396.21	7088744.72	113400	18456	117771063.4	17821.370000000003	1533562.3699999999	8432810.54	831113.23
2010	471701.07	42627765.09	68341948.1	6145980.779999999	7271195.3	108200	18506	121974812.6	18123.79	1647291.59	8685009.3	718409.8200000001
2011	486792.39	42337867.28	71955620.54	6358851.38	7241771.61	104600	18506	122338663.1	18137.29	1748290.8499999999	8807599.47	706318.03
2012	493230.03	43135677.86	75568595.86	6710538.7	7408146.57	104000	18600	128544148.1	18603.87	1755101.1800000002	8861282.98	866925.52
2013	516448.87	44245864.12	77413731.54	6676970.84	7627258.01	95740	18600	132088086.5	19580.84	1834403.69	9073835.72	790439.03
2014	519573.09	44390202.660000004	79479075.16	6559497.79	7972602.2	100000	18681.510000000002	136094259.4	19000.07	1866457.52	9412338.48	782828.81
2015	535447.41	44620862	82894987.26	6773080.5	8177556.64	76000	18742.32	136731825.6	18621.41	1868163.81	9760495.59	811364.3200000001
2016	544798.79	44307230.57	85180073.72	6957871.59	8452107.1	63035.06	18682.02	133493141	18065.86	1550216.02	10096882.3	854930.95
2017	556388.82	45336052.93	88762410.42	6991765.21	8597707.8	37393.28	18655.82	134468206	16213.03	1233883.46	10239954.23	852335.58
2018	545980.79	46437741.13	91245781.53	7238396.36	8708134.16	34954.8	18623.37	133469896.60000001	17482.170000000002	1223915.85	10294412.99	695063.24
2019	614061.05	47453543.87	93173733.85000001	9983727.040000001	9022531.12	30580.56	18598.23	110519887.6	17498.98	1230138.05	10587745.09	685734.61
2020	615119.75	47376432.15	95716687.35	10418612.81	9189982.9	30388.32	18733.629999999997	108302947.3	17219.579999999998	1265310.31	11024692.6	667342.13
2021	603648.24	47970206.69	98036441.53999999	10548522.149999999	9439172.43	26478.7	18735.55	132362665.6	17387.86	1202136.75	11395548.6	666614.86
2022	610293.61	49221746.31	99880662.61	11608770.48	9559284.36	27117.92	18704.05	138319784.8	17356.29	965378.7699999999	11897293.69	673772.27
2023	653122.79	51108731.84	102525542.6	12368671.03	9864887.64	24631.4	18672.47	143882303.20000002	17332.43	830065.8500000001	12190963.93	659353.12
