Sample	asses	buffalo	camels	cattle with the bone	chickens	ducks	geese	goat	mules	other domestic camelids	other domestic rodents	pig with the bone	pigeons and other birds	rabbits and hares	sheep	turkeys	mammals
1983	52736.1	1939550.5699999998	207915.45	16297423.61	10928567.45	951172.4	459368.8	2059244.8	32000	17051	21370	35955823.03	9350	177775.1	3152242	150557.4	515630
1984	52125.4	2022272.3699999999	222621.62	16858411.94	11040742.8	965399.4	470455.7	2141197.7399999998	34000	14171	21380	39004696.04	10240	190179.3	3235514.19	169811.7	539860
1985	52435.5	2120470.35	226942.9	17354268.56	11725247.25	999764	477345.7	2216033.81	37000	13931	21380	43305160.87	10240	190131.9	3248780.32	175619.8	573480
1986	55520	2242645.28	220629.68	18101356.74	12953501.35	1125980.7	543415.1	2301444.35	40000	13805	21490	44528043.37	10570	229581.9	3286749.2800000003	176296.2	599272
1987	56418	2253406.35	214383.99	18026784.88	14280285.95	1266297.8	628030.1	2552121.95	45000	13933	21580	47478604.14	11070	286621.1	3418775.54	182289.6	626811
1988	59277	2398732.37	226959.95	18778418.3	15514059.9	1358753.6	843013.1	2671163.86	47400	13900	21730	50872431.14	11440	319198.3	3645932.11	176414.9	638226
1989	61211	2361795.36	247003.22	19665556.900000002	15687842.85	1407541.7	879558.1	2905258.7	50000	14112	21900	52958504.22	11890	303893.5	3890995.94	180089.1	634720
1990	62537.85	2424490.93	263746.27	20687776.98	17117914.4	1554309.24	991045.5	3049591.44	52000	15170	22020	56282356.21	12540.5	293174	4057180.73	189421.6	550269.08
1991	64626.51	2820037.56	258626.46	20772076.68	19134250.93	1695585.45	1316995.2	3096798.69	53000	13938	22120	60567096.9	11367.57	318537.72000000003	4066832.37	172527.80000000002	573503.89
1992	330529.67	2785065.5300000003	272869.67	28492878.46	23259511.39	1976076.77	1557702.03	3270953.91	56000	14291	22180	69166072.92	11910.060000000001	520328.36	4934955.4799999995	221858.27000000002	616216.06
1993	326846.73	2484198.86	266256.31	28885984.36	26064507.2	2385642.71	1777544.2	3434962.5	58000	13435	22180	73294402.7	13013.759999999998	540022.74	5134612.55	226114.96	586230.49
1994	324531.04000000004	2700507.91	282728.39	29469002.470000003	27766171.21	2606289.23	1935459.53	3590857.54	91040	13402	22180	80434400.12	12810.52	600479.93	5297267.06	248594.55000000002	563922.82
1995	325472.8	2880442.82	288398.91	30000798.83	30611644.810000002	3003365.32	2730508.11	3996899.97	102200	12516	22180	89220050.47	13427.16	675346.75	5412834.55	263958.52	792191.13
