"spec","env","r","p","df_r","df_p"
"Human-derived Salmonella (developing countries)","Camels",0.687729632171295,0.001,"0.6–0.8","< 0.001"
"Human-derived Salmonella (developing countries)","Cattle",0.383712492801859,0.001,"0.2–0.4","< 0.001"
"Human-derived Salmonella (developing countries)","Chickens",0.665117148756038,0.001,"0.6–0.8","< 0.001"
"Human-derived Salmonella (developing countries)","Ducks",0.494015994447748,0.001,"0.4–0.6","< 0.001"
"Human-derived Salmonella (developing countries)","Goat",0.58576831849789,0.001,"0.4–0.6","< 0.001"
"Human-derived Salmonella (developing countries)","Mules",0.0747484997678291,0.054,"0–0.2",">= 0.05"
"Human-derived Salmonella (developing countries)","Other domestic rodents",0.0611171947450054,0.119,"0–0.2",">= 0.05"
"Human-derived Salmonella (developing countries)","Pig",0.572329667563974,0.001,"0.4–0.6","< 0.001"
"Human-derived Salmonella (developing countries)","Pigeons and other birds",-0.113179400702377,0.955,"-1–0",">= 0.05"
"Human-derived Salmonella (developing countries)","Rabbits and hares",0.338357310111876,0.001,"0.2–0.4","< 0.001"
"Human-derived Salmonella (developing countries)","Sheep",0.57430018831394,0.001,"0.4–0.6","< 0.001"
"Human-derived Salmonella (developing countries)","Turkeys",0.48022949889557,0.001,"0.4–0.6","< 0.001"
"Swine-derived Salmonella (developing countries)","Camels",0.406133773400271,0.001,"0.4–0.6","< 0.001"
"Swine-derived Salmonella (developing countries)","Cattle",0.192775430554803,0.016,"0–0.2","0.01 - 0.05"
"Swine-derived Salmonella (developing countries)","Chickens",0.392094555486855,0.001,"0.2–0.4","< 0.001"
"Swine-derived Salmonella (developing countries)","Ducks",0.283414885560351,0.008,"0.2–0.4","0.001 - 0.01"
"Swine-derived Salmonella (developing countries)","Goat",0.340597131282232,0.001,"0.2–0.4","< 0.001"
"Swine-derived Salmonella (developing countries)","Mules",-0.0338716317168977,0.757,"-1–0",">= 0.05"
"Swine-derived Salmonella (developing countries)","Other domestic rodents",-0.00407499034688206,0.486,"-1–0",">= 0.05"
"Swine-derived Salmonella (developing countries)","Pig",0.679863414024886,0.004,"0.6–0.8","< 0.001"
"Swine-derived Salmonella (developing countries)","Pigeons and other birds",-0.089217193507473,0.775,"-1–0",">= 0.05"
"Swine-derived Salmonella (developing countries)","Rabbits and hares",0.306819937712793,0.001,"0.2–0.4","< 0.001"
"Swine-derived Salmonella (developing countries)","Sheep",0.332272260761226,0.001,"0.2–0.4","< 0.001"
"Swine-derived Salmonella (developing countries)","Turkeys",0.354733945384942,0.001,"0.2–0.4","< 0.001"
