Sample	Camels	Cattle	Chickens	Ducks	Goat	Mules	Pig	Pigeons and other birds	Rabbits and hares	Sheep	Turkeys	"Other meat of mammals, fresh or chilled"
1983	110	24187588	13573635	203648.3	82732	2329	27769916	4165	518769	2413780.8	2155603.5	366200
1984	100	24767246	13928840	210455.8	86956	1878	27920810	4513	518878.5	2340734.8	2156585.5	371028
1985	100	25016567	14436004	220351.4	87600	1682	28374095	4455	518994.5	2475588.2	2269348	372980
1986	100	25557320	15013635	239881	90573	1413	28384890	4366	515796.5	2398330.48	2514190.5	232886
1987	75	25351496	15988012	254939.6	95379	1437	29134841	4135	519650	2418059.08	2838650.2	243924
1988	75	24771796	16508451	268491.6	101726.6	1185	30520493	4040	509650	2453841.6799999997	2984054.7	248138
1989	75	24076207	16991022	285291.5	102187.4	966	30449087	4070	457190	2470955.02	3205781.2	256812
1990	75	24704329	17676710	284630.5	102527	902	30324356	4220	457830	2564289.7800000003	3514404.7	254861.38
1991	75	25036137	19134410.9	337670.26	115030.45999999999	915	29983716.55	4350	273823.72	2601124.54	3283806.9299999997	138263.76
1992	75	25039968	20181316.71	362812.86	118797.20999999999	849	31334632.61	4425	289982.70999999996	2648641.8	3465948.21	139870.85
1993	75	24302118.37	20904547.2	380569.67	118421.93000000001	800	31800623.1	4260	307157.75	2516379.86	3521848.66	149591.67
1994	75	23756607.1	22211080.02	408041.37	117730.98	800	31739305.17	4089	303660.36	2519706.94	3642869.15	145103.52
1995	75	24418794.54	23011261.88	421089.91000000003	115168.53	810	32055089.25	4354.2	298093.02	2479570.7800000003	3845604.08	144881.56
1996	75	24806528.87	24142288.3	458987.45	115982.75	719	32172442.240000002	4457.2	310387.86	2382434.47	4044234.83	148710
1997	75	25088731.34	24942449.95	486540.83	116527.25	804	31884625.89	4554	304481.42000000004	2351978.77	4129708.12	149925.9
1998	80	25078459.96	25599973.65	508250.51	116238.36	720	34406210.019999996	4796	313216.24	2450309.96	4114608.88	149115.39
1999	80	25190398.060000002	26161906.79	533469.57	123310.28	650	35087781.14	4920	288782.19	2422523.36	4077292.89	143603.06
2000	80	25190477.36	25504548	506620.14	124903.06	652	34192653.56	5006	292895.04	2509083.9899999998	4762423.13	151804.5
2001	80	25160009.759999998	26353091	543565.13	126136.94	667	34229810.95	5136	298924.46	2449735.73	4882917.57	159269.48
2002	80	25044114.09	27158531.4	576188.41	134747.75	686	35116971.91	5023	305197.83999999997	2348506.21	5037685.59	149446.27
2003	80	25214632.75	27070861.63	574950.33	131410.13	683.45	35687601.86	5150	289532.28	2310540.94	4734609.54	148665.71
2004	80	25369538	27876194.13	549011.2	119161	692	35558915.22	5421	251778.63	2254817.65	4707317.99	151243.95
2005	80	24303955	28881328.33	585629.22	119687.02	707	35587124.79	5168	250939.63	2314150.69	4646681.109999999	155465.76
2006	80	24376625.45	28812654.509999998	577309.95	129559.75	709	35894862.53	5033	247399.28999999998	2340026.48	4625970.41	153461.73
2007	80	25045663.73	29669067.55	622233.27	126934.61	695.73	37235333.33	5343	254644.99	2407078.32	4753686.97	144123.63
2008	80	25145693.08	29918458.2	595017.28	125155.29000000001	695.22	37938170.11	5413	233796.37	2335916.86	4900650.15	149082.07
2009	80	25027381.740000002	29938191.04	603127.1499999999	130547.07	690	37338390.03	5296	223062.89	2160888.56	4592473.85	148513.33
2010	80	24914082.71	31102077.16	621527.65	132416.72	700	37832085.2	5197	228247.5	2009327.6400000001	4688245.5	149872.1
2011	88	24845587.09	31590742.2	637821.13	135192.08	700	37985113.49	5199	235926.6	1952596.99	4768557.4	142548
2012	85.93	24462642.68	32074975.79	631748.94	133978.22999999998	700	38096807.92	1197	235326.51	1966787.21	4933324.96	137184.30000000002
2013	85.05	24308425.1	33293543.79	625283.79	130697.44	700	37953396.99	1203	234168.35	2095740.67	4748692.9399999995	142659.32
2014	84.85	24508124.84	34156539.43	658795.6	109912.11	702.4	37711099.74	1176	233559.68	2132208	4764097.95	146239.18
2015	85.14	23891437.009999998	35281740.16	669112.16	105744.81	706.86	39435744.08	1157.82	221726.8	2140453.65	4758153.4399999995	143615.38
2016	85.42	24466578.36	36214879.22	617409.58	106325.78	701.31	40089765.870000005	1119.26	223220.07	2110802.99	5033237.59	142844.65
2017	85.79	24727725.740000002	36896553.24	554781.03	103669.42	702.47	40323721.21	1116.8	189131.69	2049318.65	4914692.54	138111.47
2018	86.04	25523210.53	38082643.269999996	609738.35	93012.15	0	41143658.46	0	138782.58000000002	2125066.77	4996952.3100000005	19953.38
2019	86.42	25801400.46	38990506.43	647493.98	94395.78	0	41681661.74	0	123148.7	2118065.8	4974829.640000001	20127.41
2020	87	25450618.189999998	37993230.69	558559.86	82132.29000000001		42480594.43	0	79817.45999999999	2031099.21	4971471.38	19732.08
2021	87.28	25631588.77	38290679.18	547548.88	89057.1	0	42657731.33	0	75897.62	2007060.77	4715023.83	20188.39
2022	87.65	25681209.02	38950671.66	459447.52999999997	110531.88	0	41008723.18	0	66787.67	2046746.8900000001	4423586.46	20001.51
2023	88.01	25142322.060000002	39428208.480000004	489498.31999999995	100128.29	0	39652369.15	0	24452.62	2154437.2199999997	4532587.3	19476.95
